All hps: 2023-07-11 23:22:27 model=pt_resnet dataset=mnist attack=square_l2 n_ex=100 eps=0.05 p=0.05 n_iter=100
Clean accuracy: 9.00%
Initial square side=5 for bumps
1: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->7, n_ex=9, 0s, loss=2.409, max_pert=0.0, impr=3
2: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.403, max_pert=0.1, impr=4
3: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.395, max_pert=0.1, impr=6
4: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.386, max_pert=0.0, impr=7
5: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.386, max_pert=0.0, impr=0
6: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.381, max_pert=0.1, impr=5
7: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.377, max_pert=0.1, impr=4
8: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.376, max_pert=0.0, impr=2
9: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.374, max_pert=0.1, impr=5
10: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.370, max_pert=0.1, impr=3
11: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.368, max_pert=0.0, impr=2
12: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.363, max_pert=0.0, impr=7
13: acc=9.00% acc_corr=100.00% avg#q_ae=nan med#q_ae=nan s=6->3, n_ex=9, 0s, loss=2.359, max_pert=0.1, impr=7
14: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.357, max_pert=0.1, impr=5
15: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.354, max_pert=0.1, impr=5
16: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.353, max_pert=0.1, impr=3
17: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.353, max_pert=0.1, impr=3
18: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.353, max_pert=0.0, impr=3
19: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.350, max_pert=0.0, impr=4
20: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.348, max_pert=0.0, impr=4
21: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.347, max_pert=0.0, impr=2
22: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.346, max_pert=0.0, impr=3
23: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.345, max_pert=0.0, impr=2
24: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.345, max_pert=0.0, impr=1
25: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.344, max_pert=0.0, impr=2
26: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.325, max_pert=0.0, impr=5
27: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.323, max_pert=0.0, impr=4
28: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.322, max_pert=0.0, impr=4
29: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.320, max_pert=0.0, impr=5
30: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.318, max_pert=0.1, impr=2
31: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.317, max_pert=0.1, impr=2
32: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.315, max_pert=0.1, impr=4
33: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.314, max_pert=0.0, impr=3
34: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.313, max_pert=0.0, impr=3
35: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.313, max_pert=0.0, impr=3
36: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.313, max_pert=0.1, impr=1
37: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.312, max_pert=0.0, impr=2
38: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.311, max_pert=0.1, impr=4
39: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.310, max_pert=0.0, impr=2
40: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.307, max_pert=0.0, impr=5
41: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.306, max_pert=0.1, impr=3
42: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.305, max_pert=0.1, impr=5
43: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.305, max_pert=0.0, impr=2
44: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.302, max_pert=0.0, impr=6
45: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.301, max_pert=0.0, impr=1
46: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.299, max_pert=0.0, impr=3
47: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.299, max_pert=0.0, impr=3
48: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.298, max_pert=0.1, impr=4
49: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.297, max_pert=0.1, impr=3
50: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.294, max_pert=0.0, impr=4
51: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.290, max_pert=0.0, impr=5
52: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.288, max_pert=0.0, impr=3
53: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.288, max_pert=0.1, impr=2
54: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.284, max_pert=0.0, impr=6
55: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.280, max_pert=0.0, impr=4
56: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.279, max_pert=0.1, impr=2
57: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.276, max_pert=0.1, impr=7
58: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.276, max_pert=0.1, impr=2
59: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.275, max_pert=0.1, impr=2
60: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.273, max_pert=0.0, impr=4
61: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.272, max_pert=0.0, impr=3
62: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.271, max_pert=0.0, impr=2
63: acc=8.00% acc_corr=88.89% avg#q_ae=15.0 med#q_ae=15.0 s=6->3, n_ex=9, 0s, loss=2.271, max_pert=0.1, impr=2
64: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.269, max_pert=0.0, impr=2
65: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.269, max_pert=0.0, impr=2
66: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.267, max_pert=0.0, impr=4
67: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.265, max_pert=0.1, impr=5
68: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.264, max_pert=0.0, impr=3
69: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.264, max_pert=0.1, impr=3
70: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.262, max_pert=0.0, impr=3
71: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.261, max_pert=0.0, impr=1
72: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.261, max_pert=0.1, impr=1
73: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.255, max_pert=0.0, impr=4
74: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.255, max_pert=0.0, impr=2
75: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.254, max_pert=0.0, impr=2
76: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.254, max_pert=0.1, impr=1
77: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.253, max_pert=0.0, impr=3
78: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.253, max_pert=0.1, impr=2
79: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.253, max_pert=0.1, impr=1
80: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.252, max_pert=0.1, impr=3
81: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.252, max_pert=0.1, impr=1
82: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.249, max_pert=0.0, impr=4
83: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.249, max_pert=0.1, impr=1
84: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.248, max_pert=0.0, impr=2
85: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.243, max_pert=0.0, impr=3
86: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.242, max_pert=0.0, impr=2
87: acc=7.00% acc_corr=77.78% avg#q_ae=40.0 med#q_ae=40.0 s=6->3, n_ex=9, 0s, loss=2.236, max_pert=0.0, impr=3
88: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 0s, loss=2.236, max_pert=0.0, impr=2
89: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 0s, loss=2.235, max_pert=0.1, impr=4
90: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 0s, loss=2.234, max_pert=0.1, impr=4
91: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 0s, loss=2.231, max_pert=0.0, impr=1
92: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.231, max_pert=0.1, impr=0
93: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.231, max_pert=0.1, impr=3
94: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.229, max_pert=0.1, impr=4
95: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.228, max_pert=0.1, impr=3
96: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.224, max_pert=0.1, impr=2
97: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.224, max_pert=0.1, impr=2
98: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.224, max_pert=0.1, impr=1
99: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.223, max_pert=0.0, impr=3
100: acc=6.00% acc_corr=66.67% avg#q_ae=56.3 med#q_ae=65.0 s=6->3, n_ex=9, 1s, loss=2.223, max_pert=0.1, impr=2
